08:48:45.332 :: ##### 프로그램 시작 #####
08:48:45.776 :: JIF :: 11-장전 동시호가 개시
08:48:46.066 :: 자동 로그인 시작
08:48:48.694 :: 로그인 시도..!!
08:48:49.169 :: 0000 :: 로그인 성공
08:48:49.389 :: t8430 :: 종목 기본 정보 저장 완료..!!
08:48:49.391 :: t8430 :: 시간 검색 타이머 구동
09:18:40.520 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:41.675 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:42.753 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:43.856 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:44.958 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:46.108 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:47.150 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:48.333 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:49.436 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:50.557 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:51.630 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:52.702 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:53.880 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:54.964 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:56.011 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:57.167 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:58.229 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:18:59.356 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:00.467 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:01.615 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:02.697 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:03.799 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:04.870 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:06.042 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:07.127 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:08.254 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:09.346 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:10.465 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:11.538 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:12.657 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:13.762 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:14.879 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:15.971 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:17.108 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:18.192 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:19.346 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:20.395 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:21.585 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:22.595 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:23.735 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:24.860 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:26.002 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:27.114 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:28.151 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:29.333 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:30.425 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:31.464 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:32.626 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:33.742 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:34.872 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:35.882 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:36.997 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:38.161 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:39.240 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:40.411 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:41.461 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:42.584 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:43.682 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:44.809 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:45.947 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:46.959 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:48.098 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:49.178 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:50.364 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:51.475 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:52.581 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:53.682 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:54.712 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:55.843 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:56.967 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:58.099 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:19:59.180 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:20:00.317 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:20:01.376 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:20:02.505 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:20:03.605 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:20:04.686 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:20:05.800 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:20:06.951 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:20:08.089 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:20:09.164 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:20:10.262 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:20:11.361 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:20:12.513 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:20:13.596 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:20:14.649 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:20:15.841 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:20:16.933 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:20:18.007 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:20:19.140 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:20:20.210 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:20:21.299 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:20:22.453 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:20:23.520 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:20:24.674 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:20:25.732 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:20:26.913 :: 당일 재매수 여부:False 당일 매수된 종목수:6
