08:50:15.272 :: ##### 프로그램 시작 #####
08:50:16.277 :: JIF :: 25-장 개시 10분 전
08:53:59.152 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:59.154 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:59.155 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:02.169 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:02.171 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:02.173 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:02.175 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:05.224 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:05.226 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:05.228 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:05.229 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:08.247 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:08.249 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:08.251 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:08.253 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:11.321 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:11.323 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:11.325 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:11.326 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:13.380 :: 자동거래 중지..!!
08:54:24.074 :: 자동거래 시작..!!
08:54:26.537 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:26.539 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:26.541 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:26.543 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:29.584 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:29.586 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:29.587 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:29.588 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:32.639 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:32.641 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:32.644 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:32.645 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:35.670 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:35.672 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:35.673 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:35.674 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:38.713 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:38.715 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:38.717 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:38.719 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:41.751 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:41.753 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:41.755 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:41.756 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:44.794 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:44.796 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:44.797 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:44.798 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:47.849 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:47.851 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:47.852 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:47.854 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:50.895 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:50.897 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:50.899 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:50.901 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:53.938 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:53.940 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:53.942 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:53.944 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:57.003 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:54:57.005 :: 당일 재매수 여부:False 당일 매수된 종목수:4
